Ranking,Institution,Faculty Count,Average Citations,Country,Continent
416,Cyprus University of Technology,12,3319.27,Cyprus,Europe
417,Ryerson University,19,3289.82,Canada,North America
418,IIT Delhi,31,3271.5,India,Asia
419,University of Bayreuth,13,3271.1,Germany,Europe
420,University of Tulsa,11,3259.78,USA,North America
421,TU Clausthal,9,3240.5,Germany,Europe
422,University of Oldenburg,16,3207.33,Germany,Europe
423,Hunan University,53,3190.48,China,Asia
424,IIT Bhubaneswar,2,3178.5,India,Asia
425,IUPUI,23,3162.44,USA,North America
426,Tulane University,10,3157.0,USA,North America
427,National Cheng Kung University,40,3103.6,Taiwan,Asia
