Ranking,Institution,Faculty Count,Average h-index,Country,Continent
120,University of Missouri,16,35.82,USA,North America
121,University of Adelaide,34,35.8,Australia,Australia
122,University of Innsbruck,16,35.71,Austria,Europe
123,Univ. of California - Riverside,48,35.67,USA,North America
124,Universidad Rey Juan Carlos,10,35.6,Spain,Europe
125,TU Dortmund,21,35.58,Germany,Europe
126,EURECOM,26,35.58,France,Europe
127,University of South Florida,22,35.57,USA,North America
128,Victoria University of Wellington,46,35.49,New Zealand,Australia
129,University of Texas at Arlington,36,35.48,USA,North America
130,University of Würzburg,19,35.46,Germany,Europe
131,National University of Singapore,79,35.41,Singapore,Asia
132,University of Kassel,12,35.33,Germany,Europe
133,Temple University,21,35.33,USA,North America
134,University of Virginia,42,35.32,USA,North America
135,University of Wisconsin - Madison,75,35.23,USA,North America
136,KU Leuven,49,35.19,Belgium,Europe
137,University of Queensland,51,35.17,Australia,Australia
138,University of Melbourne,68,35.11,Australia,Australia
139,Graz University of Technology,56,35.04,Austria,Europe
140,IMDEA Networks Institute,12,35.0,Spain,Europe
141,Rutgers University,61,35.0,USA,North America
142,City University of Hong Kong,44,34.92,Hong Kong,Asia
